epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.1879,1.23077,0.54438,1,1.08016,0.000414474,0.000414474,0.000414474
2,85.5272,1.1161,0.53254,1,1.01221,0.000814684,0.000814684,0.000814684
3,126.01,1.08582,0.53846,1,1.05656,0.00119839,0.00119839,0.00119839
4,163.723,1.07882,0.53846,1,1.1766,0.00117575,0.00117575,0.00117575
5,202.337,1.06816,0.60355,1,1.0944,0.001151,0.001151,0.001151
6,241.562,1.05352,0.59763,1,0.93213,0.00112625,0.00112625,0.00112625
7,281.275,1.05263,0.60355,1,1.04012,0.0011015,0.0011015,0.0011015
8,321.168,1.04749,0.60355,1,1.01619,0.00107675,0.00107675,0.00107675
9,360.335,1.02138,0.64497,1,0.95312,0.001052,0.001052,0.001052
10,399.909,1.02638,0.6213,1,0.95955,0.00102725,0.00102725,0.00102725
11,437.719,1.01679,0.64497,1,0.91203,0.0010025,0.0010025,0.0010025
12,477.639,1.00819,0.64497,1,0.94246,0.00097775,0.00097775,0.00097775
13,516.776,1.00364,0.64497,1,0.93579,0.000953,0.000953,0.000953
14,556.183,0.9976,0.65089,1,1.02222,0.00092825,0.00092825,0.00092825
15,594.64,1.00441,0.64497,1,0.95833,0.0009035,0.0009035,0.0009035
16,634.199,0.99428,0.68047,1,0.86808,0.00087875,0.00087875,0.00087875
17,672.146,0.99591,0.69231,1,0.87549,0.000854,0.000854,0.000854
18,710.736,0.98007,0.70414,1,0.84497,0.00082925,0.00082925,0.00082925
19,750.725,0.98015,0.69231,1,0.89233,0.0008045,0.0008045,0.0008045
20,788.789,0.97582,0.65089,1,1.01204,0.00077975,0.00077975,0.00077975
21,827.24,0.97681,0.68047,1,0.89551,0.000755,0.000755,0.000755
22,865.8,0.96208,0.65089,1,0.91699,0.00073025,0.00073025,0.00073025
23,903.942,0.97284,0.63905,1,0.94751,0.0007055,0.0007055,0.0007055
24,942.241,0.96963,0.70414,1,0.84937,0.00068075,0.00068075,0.00068075
25,981.945,0.95964,0.69822,1,0.84831,0.000656,0.000656,0.000656
26,1020.75,0.95133,0.69231,1,0.90796,0.00063125,0.00063125,0.00063125
27,1059.35,0.96416,0.69231,1,0.8265,0.0006065,0.0006065,0.0006065
28,1097.84,0.94822,0.66272,1,0.89982,0.00058175,0.00058175,0.00058175
29,1136.15,0.94763,0.71006,1,0.82967,0.000557,0.000557,0.000557
30,1175.69,0.94767,0.70414,1,0.77795,0.00053225,0.00053225,0.00053225
31,1213.73,0.9458,0.69822,1,0.80868,0.0005075,0.0005075,0.0005075
32,1251.82,0.94338,0.70414,1,0.90706,0.00048275,0.00048275,0.00048275
33,1289.83,0.91865,0.71006,1,0.83895,0.000458,0.000458,0.000458
34,1329.33,0.93353,0.70414,1,0.7985,0.00043325,0.00043325,0.00043325
35,1368.78,0.93239,0.71598,1,0.79761,0.0004085,0.0004085,0.0004085
36,1406.35,0.92571,0.68639,1,0.82674,0.00038375,0.00038375,0.00038375
37,1445.29,0.92612,0.69822,1,0.84587,0.000359,0.000359,0.000359
38,1484.02,0.92243,0.70414,1,0.84652,0.00033425,0.00033425,0.00033425
39,1521.87,0.90542,0.70414,1,0.8903,0.0003095,0.0003095,0.0003095
40,1559.95,0.90942,0.71598,1,0.84424,0.00028475,0.00028475,0.00028475
41,1652.4,0.895,0.71006,1,0.80583,0.00026,0.00026,0.00026
42,1689.71,0.90416,0.71598,1,0.78866,0.00023525,0.00023525,0.00023525
43,1727.73,0.90373,0.69231,1,0.77791,0.0002105,0.0002105,0.0002105
44,1764.81,0.86999,0.69822,1,0.76229,0.00018575,0.00018575,0.00018575
45,1804.03,0.87626,0.69231,1,0.82495,0.000161,0.000161,0.000161
46,1842.2,0.87333,0.71598,1,0.77702,0.00013625,0.00013625,0.00013625
47,1882.66,0.88034,0.71006,1,0.79639,0.0001115,0.0001115,0.0001115
48,1921.78,0.86227,0.71006,1,0.72127,8.675e-05,8.675e-05,8.675e-05
49,1960.04,0.86241,0.70414,1,0.7946,6.2e-05,6.2e-05,6.2e-05
50,1999.07,0.85458,0.71598,1,0.81494,3.725e-05,3.725e-05,3.725e-05
